,related_feedbacks,content,children
0,"[1, 7, 35, 70]",Issues with Staff Service Quality,"[3, 17, 59, 111]"
1,"[18, 27, 28, 46, 62, 99]",Customer Satisfaction and Positive Feedback,"[34, 51, 52, 75, 98, 146]"
2,"[2, 20, 22, 55, 60, 68]",Needs for Specific Client Segments,"[8, 37, 43, 87, 95, 105]"
3,"[20, 47, 49, 75]",Efficiency and Responsiveness,"[38, 77, 79, 117]"
4,"[2, 11, 17, 23, 23, 37, 41, 45, 70, 85, 85]",Nécessité d'améliorer la gestion des livraisons et du service client,"[5, 21, 33, 46, 47, 63, 68, 74, 110, 129, 130]"
5,"[6, 7, 59, 69]",Problèmes de logistique interne et d'organisation des rayons,"[13, 16, 91, 107]"
6,"[6, 21, 65, 86]",Insatisfaction client liée à l'attente en caisse et au service,"[14, 39, 101, 131]"
7,"[4, 50]",Améliorer l'espace de stationnement et l'accès pour les professionnels,"[10, 80]"
8,"[41, 59, 69, 79, 93]",Optimisation de la communication et de l'interaction avec les clients professionnels,"[70, 94, 108, 120, 138]"
9,"[38, 61, 63, 66, 82, 82]","Amélioration des offres et promotions, et leur application à la livraison","[65, 96, 99, 102, 124, 125]"
10,"[6, 7, 16, 42, 51, 75, 92]",Incohérences entre affichage et facturation des prix,"[12, 15, 27, 71, 83, 116, 137]"
11,"[0, 2, 2, 17, 17, 21, 30, 33, 53, 68, 73, 90, 98]",Perception de prix élevés et injustes,"[1, 4, 6, 31, 32, 40, 53, 55, 85, 104, 114, 135, 145]"
12,"[2, 10, 13, 37, 48, 67, 68, 84]",Difficultés liées aux promotions et prix bloqués,"[7, 20, 24, 61, 78, 103, 106, 128]"
13,"[12, 16, 21, 40, 91]",Problèmes de compétitivité et réactivité des prix,"[23, 28, 41, 67, 136]"
14,"[3, 14, 20, 27, 51, 57, 61, 69, 87, 89, 96]",Ruptures de stock et réduction de l’offre nuisent à l’expérience client.,"[9, 25, 36, 50, 81, 89, 97, 109, 132, 134, 142]"
15,"[21, 23, 44, 52]",Augmentation des prix et baisse de qualité impactent la satisfaction client.,"[42, 44, 73, 84]"
16,"[15, 23, 58, 81, 94, 97, 97]",Logistique et gestion des magasins à améliorer pour éviter perte de clientèle.,"[26, 48, 90, 123, 139, 143, 144]"
17,"[5, 23, 56, 88, 95]",Difficulté d'accès aux magasins et problèmes de livraison à résoudre.,"[11, 45, 88, 133, 140]"
18,"[25, 64]",Préférence des clients pour des réductions immédiates et paiements flexibles.,"[49, 100]"
19,"[0, 37, 51]",Inadéquation du choix de produits avec la demande régionale et professionnelle.,"[2, 64, 82]"
20,"[0, 19, 31, 34, 37, 39, 43, 47, 54, 71, 74, 77, 79, 80, 83, 83, 96]",Gestion des stocks et ruptures fréquentes,"[0, 35, 54, 56, 62, 66, 72, 76, 86, 112, 115, 118, 119, 122, 126, 127, 141]"
21,"[16, 34]",Problèmes de qualité et fraîcheur des produits,"[30, 57]"
22,"[16, 36, 72]",Dysfonctionnements dans la distribution et la facturation,"[29, 60, 113]"
23,"[35, 59, 80]",Préoccupations sur la propreté et l'approvisionnement des entrepôts,"[58, 92, 121]"
