,insight_types,content,related_feedbacks
0,['Point de douleur'],Problèmes de ruptures de stock et arrêt soudain de produits,[0]
1,['Point de douleur'],Prix des produits parfois équivalents ou supérieurs à ceux du grand public,[0]
2,"['Point de douleur', 'Nouvelle demande']","Manque de références de produits d'identité régionale, potentiellement dû à des décisions d'acheteurs centraux",[0]
3,['Point de douleur'],Insatisfaction importante concernant le personnel,[1]
4,"['Point de douleur', 'Service global']",Augmentation des prix ressentie comme excessive et disproportionnée,[2]
5,"['Point de douleur', 'Service global']",Problèmes de livraison évoqués comme 'du grand n'importe quoi',[2]
6,['Point de douleur'],Politique de prix perçue comme injuste pour les petits commerçants,[2]
7,['Point de douleur'],Frustration face à l'impossibilité d'obtenir un prix bloqué sans un volume d'achat très élevé,[2]
8,['Nouvelle demande'],Demande pour des conditions plus favorables et accessibles pour les petits commerçants,[2]
9,['Point de douleur'],"Ruptures fréquentes de produits variés, notamment des produits saisonniers en grande demande",[3]
10,['Point de douleur'],Problèmes de stationnement pour les véhicules frigorifiques dus au manque d'emplacements attribués et au stationnement incorrect de véhicules légers,[4]
11,['Point positif'],Satisfaction envers les produits et tarifs entraînant un déplacement de 80km pour acheter.,[5]
12,['Point de douleur'],Décalage entre les prix affichés et les prix facturés,[6]
13,['Point de douleur'],Encombrement et désorganisation des rayons,[6]
14,['Point de douleur'],Longue attente en caisse,[6]
15,['Point de douleur'],Mauvaise affichage des promotions et des offres telles que 'acheter et payer' ou '3+1',[7]
16,['Point de douleur'],"Magasin de Strasbourg vieillissant, manque de propreté, encombrement dans les rayons et problèmes d'hygiène avec les toilettes",[7]
17,['Point de douleur'],Collaborateurs moyennement cordiaux,[7]
18,['Point de douleur'],Disparition fréquente de produits à Metro Nantes,[8]
19,['Point de douleur'],Problèmes d'affichage des prix au rayon fruits et légumes ainsi qu'au rayon surgelés et épicerie,[9]
20,['Point de douleur'],Manque de promotions et absence de possibilité de négocier les prix,[10]
21,"['Point de douleur', 'Nouvelle demande']",Manque de livraison suffisante pour la Farine et des offres spécifiques telles que des farines spéciales avec des prix intéressants en livraison,[11]
22,"['Point positif', 'Point de douleur']",Satisfaction globale malgré des prix élevés,[12]
23,['Nouvelle demande'],Demande pour une baisse des prix,[12]
24,"['Point de douleur', 'Service global']",Difficulté à trouver les prix dans les rayons,[13]
25,['Point de douleur'],Ruptures de stock fréquentes pouvant entraîner la perte de clients au profit de concurrents,[14]
26,['Point de douleur'],Les difficultés de paiement à distance peuvent entraver les achats des clients.,[15]
27,['Point de douleur'],Incohérence des promotions entre l'affichage en rayon et la facturation en caisse,[16]
28,['Point de douleur'],Gaspillage de temps pour les clients ayant à vérifier et contester les prix,[16]
29,['Point de douleur'],Pratiques douteuses concernant la distribution de produits à la banque alimentaire,[16]
30,['Point de douleur'],Présence de produits à dates courtes en boucherie,[16]
31,['Point de douleur'],Déception due à la différence de prix pour des produits de base comme le sucre et les œufs par rapport à la concurrence,[17]
32,['Point de douleur'],"Framboises vendues moins chères chez la concurrence, remettant en question l’attractivité des prix chez Metro",[17]
33,['Point de douleur'],Questionnement de la pertinence du déplacement ou de la livraison au vu de l’offre tarifaire non compétitive,[17]
34,['Point positif'],Appréciation générale et gain de temps chez Métro,[18]
35,['Point de douleur'],Problèmes de gestion de stocks récurrents,[19]
36,['Point de douleur'],Réduction de la gamme de produits disponibles pouvant affecter les clients ayant des besoins spécifiques,[20]
37,['Nouvelle demande'],Demande de produits conformes aux exigences cacher,[20]
38,['Point positif'],Disponibilité du client à collaborer pour améliorer le service,[20]
39,['Point de douleur'],La carte réflex ne récompense pas assez.,[21]
40,['Point de douleur'],Le cours de la farine a chuté mais cela n'est pas reflété dans les prix pratiqués par Metro.,[21]
41,['Point de douleur'],Hausse importante du prix de l'huile d'olive chez Metro.,[21]
42,['Point de douleur'],Augmentation significative du prix des boîtes à pizza et baisse de leur qualité.,[21]
