,related_feedbacks,content,children
0,"[1, 6, 6, 7, 7, 35, 51, 59, 70, 86, 95]",Insatisfaction client liée au service en magasin et à l'hygiène,"[3, 13, 14, 16, 17, 59, 82, 91, 111, 131, 140]"
1,"[2, 45, 58, 70, 72, 85, 97]",Problèmes logistiques et insatisfaction liés aux livraisons,"[5, 74, 90, 110, 113, 129, 144]"
2,"[49, 59, 69, 75, 82]",Difficultés de communication et service après-vente inadéquats,"[79, 94, 108, 117, 124]"
3,"[15, 47, 54, 65]","Amélioration de la processus d'achat nécessaire, incluant le paiement et les promotions","[26, 77, 86, 101]"
4,"[56, 88, 94, 82]",Accès difficile aux magasins et insatisfaction concernant le Click & Collect,"[88, 133, 139, 124]"
5,"[23, 97, 97]",Problèmes d'approvisionnement local et modifications des services mal reçus,"[48, 143, 144]"
6,"[28, 59, 99]",Satisfaction sur certains aspects du service à la clientèle,"[52, 93, 146]"
7,"[0, 11, 16, 20, 23, 39, 41, 41, 59, 61, 61, 63, 82, 85, 89, 96]",Nécessité d'améliorer la disponibilité et l'assortiment des produits,"[2, 21, 30, 36, 47, 66, 68, 69, 92, 96, 97, 99, 125, 130, 134, 142]"
8,"[4, 23, 37, 41, 61, 69]",Optimisation et flexibilité des options de livraison requises,"[10, 45, 63, 68, 96, 109]"
9,"[21, 38, 55, 61, 69, 81, 93]",Amélioration des services et fidélisation de la clientèle nécessaire,"[39, 65, 87, 97, 109, 123, 138]"
10,"[4, 37, 59]",Problèmes d'approvisionnement et d'espaces de stationnement à résoudre,"[10, 62, 92]"
11,"[0, 3, 14, 19, 27, 31, 34, 43, 47, 51, 57, 71, 74, 77, 79, 80, 83, 83, 87, 96]",Problèmes récurrents de rupture de stock affectant l'expérience client,"[0, 9, 25, 35, 50, 54, 56, 72, 76, 81, 89, 112, 115, 118, 119, 122, 126, 127, 132, 141]"
12,"[8, 16, 34, 35, 36, 69, 80]",Besoins d'améliorer la gestion de stock et l'approvisionnement,"[18, 29, 57, 58, 60, 107, 121]"
13,"[31, 34, 36, 96]",Nécessité de mieux communiquer sur les ruptures de stock et la qualité des produits,"[54, 57, 60, 141]"
14,"[2, 2, 2, 12, 21, 33, 53, 73, 84, 98]",Problématiques de perception des prix et demande pour des conditions tarifaires plus justes et stables.,"[4, 6, 7, 23, 40, 55, 85, 114, 128, 145]"
15,"[6, 7, 10, 16, 42, 79, 92]",Discrepancies between advertised and billed prices and the lack of negotiation options for promotions.,"[12, 15, 20, 27, 71, 120, 137]"
16,"[9, 13, 37, 51, 68, 75]",Nécessité d'améliorer la clarté et la visibilité de l’affichage des prix et promotions en rayon.,"[19, 24, 61, 83, 106, 116]"
17,[16],Perte de temps pour les clients due à la vérification des prix et contestations nécessaires.,[28]
18,[91],Satisfaction quant à la stabilité des prix chez certains clients.,[136]
19,"[0, 30, 17, 17, 17, 21, 21, 23, 23, 44, 52, 68, 90]",Problèmes de compétitivité et structure tarifaire peu attractive,"[1, 53, 31, 32, 33, 41, 42, 44, 46, 73, 84, 104, 135]"
20,"[2, 25, 64, 66, 67, 68]",Demandes pour des conditions commerciales et promotions plus avantageuses,"[8, 49, 100, 102, 103, 105]"
21,"[5, 18, 40, 46, 62]",Satisfaction clientèle globale et reconnaissance de la qualité de certains produits,"[11, 34, 67, 75, 98]"
22,"[20, 22, 48, 60]",Intérêt pour l'élargissement de l'offre et demande de produits spécifiques,"[37, 43, 78, 95]"
23,"[12, 20, 27, 41, 50]",Points positifs en termes de service et d'accessibilité à améliorer,"[22, 38, 51, 70, 80]"
24,[37],Mécontentement sur la qualité de certains produits spécifiques,[64]
