,insight_types,content,related_feedbacks
0,['Point de douleur'],Les ruptures de stock et l'arrêt soudain de produits sont problématiques.,[0]
1,['Point de douleur'],L'observation des prix équivalents ou plus élevés que ceux du grand public soulève des questions sur la compétitivité de Metro.,[0]
2,['Point de douleur'],Les problèmes relatifs à la référence de produits régionaux supprimés par les acheteurs centralisés à Paris.,[0]
3,['Point de douleur'],Insatisfaction concernant le personnel entraînant une réduction significative des achats,[1]
4,['Point de douleur'],Augmentation excessive des prix à l'achat en gros,[2]
5,['Point de douleur'],Politique de prix défavorable pour les petits commerçants,[2]
6,['Point de douleur'],Insatisfaction face à la structure des offres de prix,[2]
7,"['Point de douleur', 'Service global']",Problèmes de livraison mal organisés,[2]
8,['Point de douleur'],Ruptures de stock fréquentes sur une gamme variée de produits,[3]
9,"['Point de douleur', 'Nouvelle demande']",Difficulté spécifique à se procurer des produits saisonniers et festifs en haute demande,[3]
10,['Point de douleur'],Problèmes récurrents de stationnement pour les véhicules frigorifiques dus à l'occupation des emplacements par des véhicules légers.,[4]
11,['Point positif'],Clients satisfaits des produits et tarifs au point de voyager 80km pour acheter chez Metro,[5]
12,['Point de douleur'],Absence de prix sur de nombreux produits en boucherie,[6]
13,['Point de douleur'],Discrepance entre les prix affichés et ceux facturés,[6]
14,['Point de douleur'],Désorganisation et encombrement des rayons entravant la circulation,[6]
15,['Point de douleur'],Longueur des attentes en caisse,[6]
16,['Point de douleur'],Affichage des promotions inadapté,[7]
17,['Point de douleur'],"Problèmes d'hygiène et de propreté, en particulier les toilettes",[7]
18,['Point de douleur'],Accès difficile dans les rayons à cause des palettes,[7]
19,['Point de douleur'],Collaborateurs peu cordiaux,[7]
20,['Point de douleur'],Inquiétudes concernant la disparition fréquente de produits,[8]
21,['Point de douleur'],L'affichage insuffisant des prix au rayon fruits et légumes entrave les achats des clients,[9]
22,['Point de douleur'],"Les prix des produits surgelés ne sont pas toujours à jour, ce qui peut engendrer de la frustration chez les clients",[9]
23,['Point de douleur'],Incohérences dans l'affichage des prix dans le rayon épicerie,[9]
24,['Point de douleur'],Insatisfaction concernant le manque de promotions et l'absence de négociation sur les prix chez Metro,[10]
25,"['Point de douleur', 'Nouvelle demande']",Manque de disponibilité de la farine et demande pour des farines spéciales avec livraison,[11]
26,"['Point positif', 'Point de douleur']",Satisfaction globale mais préoccupations concernant les prix élevés avec suggestion d’une réduction.,[12]
27,['Point de douleur'],Difficulté à trouver les prix dans les rayons,[13]
28,['Point de douleur'],Problèmes récurrents de ruptures de stock,[14]
29,['Point de douleur'],Limitations des options de paiement pour les clients,[15]
30,"['Point de douleur', 'Service global']","Les promotions affichées en rayon ne sont pas respectées en caisse, causant frustration et surcoût pour les clients.",[16]
31,['Point de douleur'],Les longues files d'attente et le processus inadéquat de vérification des prix créent une perte de temps pour les clients.,[16]
32,['Point de douleur'],"Présence de produits en boucherie avec des dates de péremption proches, suggérant une rotation des stocks insuffisante.",[16]
33,['Point de douleur'],"Insatisfaction concernant la distribution des avantages promotionnels, perçue comme inéquitable.",[16]
34,['Point de douleur'],Déception liée à l'écart de prix sur des produits de base par rapport à la concurrence.,[17]
35,['Point de douleur'],Questionnement sur la valeur ajoutée du déplacement ou de la livraison en raison de la différence de prix.,[17]
36,['Point positif'],Appréciation générale et gain de temps par le client,[18]
37,['Point de douleur'],Problème de rupture de stock fréquente,[19]
38,"['Point de douleur', 'Nouvelle demande']","Réduction de l'assortiment de produits spécifiques comme les oeufs blancs, diverses boissons, ketchup, harengs et vodka, impactant les clients cherchant des produits cachers.",[20]
39,['Point de douleur'],Insatisfaction quant à la politique de récompenses de la carte réflex.,[21]
40,"['Point de douleur', 'Nouvelle demande']","Demande d'ajustement des prix en accord avec les fluctuations du marché, spécifiquement concernant le cours de la farine.",[21]
41,['Point de douleur'],Augmentation perçue considérable et qualité décevante des boîtes à pizza.,[21]
42,['Nouvelle demande'],Demande de produits plus adaptés aux besoins spécifiques de la collectivité,[22]
43,['Point de douleur'],Difficultés de livraison rencontrées par le client durant l'été,[23]
44,['Point de douleur'],Augmentation significative du prix des boissons lors de la livraison,[23]
45,['Point de douleur'],Désorganisation de l'entrepôt de La Rochelle mentionnée par le client,[23]
46,['Point positif'],Préférence des clients pour des réductions immédiates plutôt qu'en lot,[25]
47,['Point de douleur'],Ruptures de stock fréquentes,[27]
48,['Point de douleur'],Accès aux allées bloqué par des rubalises,[27]
49,['Point positif'],Appréciation de l'ouverture précoce à 5 heures,[27]
50,['Point positif'],Satisfaction concernant la performance de l'équipe,[28]
51,['Point de douleur'],Préoccupation concernant le niveau élevé des prix par rapport à la concurrence,[30]
52,['Point de douleur'],Problèmes de livraison fréquents incluant des ruptures de stock non signalées et des produits avec des DLC très courts.,[31]
53,['Point de douleur'],Frustration face à l'augmentation des prix non justifiée,[33]
54,['Point de douleur'],Frustration face aux ruptures de stock fréquentes,[34]
55,['Point de douleur'],Déception concernant la disponibilité limitée pour les petites structures,[34]
56,"['Point de douleur', 'Service global']",Problèmes de propreté dans l'entrepôt,[35]
57,"['Point de douleur', 'Service global', 'Recrutement']",Qualité du service au personnel laissant à désirer,[35]
58,['Point de douleur'],Problèmes de facturation et de surcharge identifiés par les avoirs fréquents,[36]
59,['Point de douleur'],Absence d'affichage des prix,[37]
60,['Point de douleur'],Gestion des stocks insuffisante,[37]
61,['Point de douleur'],Absence de service de livraison,[37]
62,['Point de douleur'],Mauvaise qualité de la viande,[37]
63,['Point de douleur'],Manque de considération pour les petites structures,[38]
64,['Point de douleur'],Problème de régularité dans la disponibilité des produits,[39]
65,['Point positif'],Satisfaction quant au rapport qualité prix des alcools,[40]
66,['Point de douleur'],Trop de produits manquants,[41]
67,['Point de douleur'],Impossible d'acheter des produits à l'unité,[41]
68,['Point positif'],Soutien à la livraison hebdomadaire par Metro,[41]
69,['Point de douleur'],Trop d'accent mis sur le web,[41]
70,['Point de douleur'],Commandes hebdomadaires non prises en compte,[41]
71,['Point de douleur'],Incohérences entre les tarifs promotionnels affichés et ceux facturés en caisse,[42]
72,['Point de douleur'],Ruptures de stock prolongées pour les produits à longue conservation impactent négativement le chiffre d'affaires.,[43]
73,['Point de douleur'],Perception des prix comme étant excessifs pour divers produits,[44]
74,['Point de douleur'],"Grande déception concernant les livraisons et les commandes en ligne, entraînant la perte de commandes",[45]
75,['Point de douleur'],Problématique des ruptures de stocks prolongées,[47]
76,['Point de douleur'],Délais d'attente en caisse trop longs,[47]
77,['Point de douleur'],Disparition de produits haut de gamme comme le saumon fumé sauvage et portos vieux de 10 ou 20 ans.,[48]
78,['Point de douleur'],Le SAV est perçu comme lent par le client,[49]
79,"['Point de douleur', 'Nouvelle demande']","Les horaires d'ouverture actuels ne répondent pas aux besoins des professionnels, particulièrement pendant la haute saison.",[50]
80,['Point de douleur'],Des ruptures de stock fréquentes et un manque de matériel de manutention nuisent à l'expérience client.,[51]
81,['Point de douleur'],Les différences de disponibilité des produits entre les magasins génèrent de la frustration chez les clients.,[51]
82,['Point de douleur'],L'absence d'affichage des prix contribue à une perception désorganisée du magasin.,[51]
83,['Point de douleur'],Préoccupations sur l'augmentation croissante des coûts impactant négativement l'activité commerciale et entraînant la perte de clients.,[52]
84,['Point de douleur'],Insatisfaction concernant les prix,[53]
85,"['Point de douleur', 'Nouvelle demande']",Demande de rétablissement de la gamme complète pour la livraison,[54]
86,['Point de douleur'],Attention nécessaire aux besoins des petits commerçants,[55]
87,['Point de douleur'],La distance à parcourir pour accéder au magasin est un problème pour certains clients,[56]
88,['Point de douleur'],Stock insuffisant en frites et pommes de terre sous vide.,[57]
89,['Point de douleur'],Désorganisation et problèmes de livraison à La Rochelle,[58]
90,"['Point de douleur', 'Service global']","Rayons vides et encombrés, problème d'approvisionnement même en milieu de journée",[59]
91,"['Point de douleur', 'Service global']",Difficulté à joindre les chefs de rayons au téléphone pour les commandes,[59]
92,"['Point positif', 'Service global']",Personnel toujours à l'écoute des demandes,[59]
93,['Nouvelle demande'],Intérêt pour l'élargissement de la gamme de produits biologiques chez Metro,[60]
94,['Point de douleur'],Réduction de l'assortiment en entrepôt et inadaptation de l'assortiment en livraison aux besoins de l'activité client.,[61]
95,"['Point de douleur', 'Nouvelle demande']","Risque de perte de clientèle en raison de l'insuffisance de l'offre actuelle, avec une recherche active de solutions alternatives par les clients.",[61]
96,['Point positif'],"Appréciation de la bonne volonté, de la bonne humeur, de la gentillesse et de la courtoisie du personnel.",[62]
97,['Point de douleur'],Manque de référence en huile d'olive,[63]
98,['Point de douleur'],Problèmes avec la promotion en caisse entraînant un service client mécontent et considérant l'expérience comme de l'escroquerie,[65]
99,"['Point de douleur', 'Nouvelle demande']",Les promotions ne sont pas valables lors de la livraison,[66]
100,"['Point positif', 'Nouvelle demande']",Clients satisfaits par les promotions sur les achats de champagne en grande quantité,[67]
101,['Point de douleur'],Nécessité d'améliorer les prix sur les fruits & légumes,[68]
102,['Nouvelle demande'],Demande pour plus de promotions sur la marée et la boucherie,[68]
103,['Point de douleur'],Besoin d'améliorer la visibilité des prix en rayons,[68]
104,['Point de douleur'],Gestion de l'entrepôt désastreuse avec des erreurs régulières sur les palettes,[69]
105,['Point de douleur'],Service préparation injoignable,[69]
106,['Nouvelle demande'],Amélioration de la fiabilité des approvisionnements,[69]
107,['Point de douleur'],Déceptions face aux retard de livraison,[70]
108,['Point de douleur'],Impression d'une baisse de qualité du service depuis le Covid,[70]
109,"['Point de douleur', 'Service global']",Ruptures de stock sur certains produits ces derniers mois,[71]
110,['Point de douleur'],Problèmes avec la reprise de consigne entraînant l'arrêt des commandes en livraison,[72]
111,['Point de douleur'],Perception des prix comme étant très élevés comparativement aux grandes surfaces,[73]
112,"['Point de douleur', 'Service global']","Problèmes de ruptures de stock fréquentes et durables, spécialement dans les produits non alimentaires",[74]
113,['Point de douleur'],Problématique de la visibilité des prix en magasin,[75]
114,['Point de douleur'],Temps d'attente excessif pour parler à un conseiller ou un vendeur,[75]
115,['Point de douleur'],Problèmes de gestion de stock pour des produits récurrents,[77]
116,['Point de douleur'],Manque de régularité et disponibilité des produits en rayon,[79]
117,['Point de douleur'],Manque de visibilité et d'information rapide sur les promotions en entrepôt,[79]
118,['Point positif'],Besoins d'améliorations pour la tenue du magasin,[79]
119,['Point de douleur'],Gros soucis d'approvisionnement à l'entrepôt de Valence,[80]
120,"['Point de douleur', 'Nouvelle demande']",Inquiétude quant à la capacité de Metro à approvisionner correctement les rayons,[80]
