Index,Title,Date,Content,Page,Username,Total reviews,Location,Rating
0,Belle qualité de photos,"December 17, 2023","Belle qualité de photos, j’adore tous les types de formats (magnets ; photos retros surtout) et mes grands parents ont adoré le calendrier de l’année !",1,Mathilde,2 reviews,FR,5
1,bonne satisfaction des tirages photo de…,"December 07, 2023",bonne satisfaction des tirages photo de CHEERZ et dans un délai respectable et convenu.,1,MARTINE,1 review,FR,4
2,The overall quality was good,"November 29, 2023",The overall quality was goodAlso the delivery to Canada was fast however the packet was opened due to customs I suppose and because of that it was damaged!,1,yousra,1 review,MA,4
3,Bug sur l’impression du calendrier de…,"November 16, 2023",Bug sur l’impression du calendrier de l’avent. Une photo vide sans message d’avertissement. Et ne pouvant pas ajouter plus de photo alors qu’il en manquait bien une…,1,Émilie Demez,3 reviews,FR,1
4,Super,"December 14, 2023",Belle qualité des photos avec le support,1,cliente,2 reviews,FR,5
5,Tirage photo,"December 29, 2023",Très belle qualité de photo. Simple a créer,1,Lisa Berna,2 reviews,FR,5
6,I do not recommend,"November 22, 2023",First order without any issues. I have ordered 2nd time the same order exactly to the same address. When Odred was delayed I have contacted customer service and they have told me that because they are busy with orders there are some delays. They offered me.6 euros. Next day I have recieved call from Poland where is.my billing adress to give full adress as item was printed in Poland instead France as item spposed to France. I have contacted again Customer Service and they assured me that it will be send to Paris not.to Poland. At the end I recieved it to polish adress where it was picked up.by my mother atnit supposed to be her christmass gift. (6th of December). The have send me just appologize and that is it. Poor cistomer service. They do not even bother to double check and read customers emails even they did already one mistake.,1,Mateusz,1 review,FR,1
7,Album photo,"December 28, 2023",Super rendu,1,Gabrielle,1 review,FR,5
8,Best quality,"November 06, 2023","Fast delivery best quality best price can t find better highly recommend it, I wish they could deliver to qatar directly I was obliged to send it to my family in dubai and go to dubai to take my order . Highly satisfied",1,khouloud,1 review,QA,5
9,Impression de faire part en magnet,"December 06, 2023","Impression de faire part en magnet, qualité au top !",1,Ga�lle,2 reviews,FR,5
10,Au top,"December 01, 2023","Magnets parfaits, on a repassé commandé ensuite car on en voulait plus",1,Marion  Mazaleyrat,3 reviews,FR,5
11,Tres bel album photo,"December 09, 2023","Très bel album Page et photos de qualité , exactement fidèle à la simulation sur l’application",1,Candice,1 review,FR,5
12,Super merci,"December 16, 2023",,1,Mme aurore nehdi,4 reviews,FR,4
13,attention au format d’image,"November 03, 2023","Mon format d’image ne correspondait pas au format de mon album photo, l’erreur vient de moi donc faite attention quand même.",1,Max,6 reviews,FR,4
14,Parfait,"December 27, 2023",Parfait. Belle photo,1,Madame Kristina Akopian,3 reviews,FR,5
15,Great quality and service,"October 24, 2023","I have been using Cheerz' service for a few years so far and love it. Ordered several photo albums, and printed photos. Always great quality and service.",1,Anastasiya,1 review,FR,5
16,Calendrier photo,"December 07, 2023",Qualité au top ! Le rituel photo de mes calandriers pour la famille.,1,jeromine,1 review,FR,5
17,Service rapide et simple,"December 20, 2023",,1,Gwennaelle,1 review,FR,5
18,Album photo,"December 11, 2023",Très bonne qualité de photos,1,Delphine,1 review,FR,5
19,Process simple à prendre en mains,"November 29, 2023","Process simple à prendre en mains, rapide et de qualité",1,JM,1 review,FR,5
20,Très mécontente de Cheerz ou du…,"December 21, 2023","Très mécontente de Cheerz ou du tranporteur. Commande passée le 20/12/2023 pour 10 photos, jamais reçue. Nouvelle commande en cours de livraison. Je ne recommanderais jamais",2,Catherine,2 reviews,FR,1
21,J'ai commandé des magnets,"December 20, 2023","J'ai commandé des magnets, ils sont de bonnes qualités, et j'ai reçu ma commande rapidement ! Effet très sympa sur le frigo !",2,Manon,1 review,FR,5
22,Recommandation à 1000%,"January 10, 2024","Chacune des créations et des commandes que se soit un livre, des photos, calendrier annuel, magnets… sont de très bonne qualité et la réception rapide. J’adore cheerz et je recommande à 1000 %!",2,Mikiie Rom,5 reviews,FR,5
23,Merci beaucoup à l'entreprise Cheerz…,"December 26, 2023",Merci beaucoup à l'entreprise Cheerz pour avoir accepté de procéder à un nouvel envoi gratuit de mes tirages que je n'ai jamais reçus (certainement en raison d'une défaillance de la société chargée du transport de ce pli). C'est un geste commercial que j'ai beaucoup appréciée et je n'hésiterai donc pas à passer de nouvelles commandes sur ce site.,2,Sab,1 review,FR,5
24,Toujours satisfaite,"December 26, 2023",Recommande a 100% toujoirs des albums au top avec mes photos de qualité.,2,Angelique Rouez,5 reviews,FR,5
25,Délai pour expédition correct .point…,"December 21, 2023","Délai pour expédition correct .point négatif le format de photo ne correspondait pas avec le format de la toile ce qui a représenté un bandeau blanc sur la toile , alors que sur la petite représentation avant achat cela n’apparaissait pas",2,Jean Paul,1 review,FR,4
26,Super Expérience même si l'app est perfectible,"December 26, 2023","l'app est perfectible, notamment pour la recherche des photos sur l'appareil; c'est fastidieux il y a des petits budgs (sur Android en tous cas). Sinon, rien à redire sur la livraison et l'expérience d'achat, c'est top.",2,Alejandro,3 reviews,ES,4
27,Publicité mensongère au niveau des délais,"December 26, 2023","Les délais de livraison n’ont pas du tout été respectés. Et depuis la livraison, je n’ai même pas pris la peine d’ouvrir le colis car la date de remise et la fête sont passés!  Donc aucun intérêt. Argent gaspillé  publicité donc mensongère sur les délais renseignés",2,Didrich,3 reviews,BE,1
28,J’ai jamais reçu ma commande,"December 22, 2023","J’ai jamais reçu ma commande, elle a été mise sur un pour un relais j’ai pas été averti puis la commande a été détruite, c’est inadmissible",2,Anissa,1 review,FR,1
29,Envoie rapide,"December 27, 2023","Envoie rapide, belles photos et large choix de taille, mais lorsque la qualité de la photo est trop élevée (appareil pro par exemple sur des photos macro) le rendu présente quelques défauts",2,Luna,1 review,FR,4
30,Tirages photos,"December 28, 2023","Qualité très belles et rapport qualité prix correct, je recommande vraiment cheerz autour de moi. Je n'utilise plus que cette application quasiment pour imprimer mes photos souvenirs.",2,Honorine,3 reviews,FR,5
31,Cadeau très sympa,"January 02, 2024",Une idée de cadeau très sympa et très rapide à faire et qui fait son petit effet de surprise.,2,Gaëlle,1 review,FR,5
32,Très bonne qualité des magnets et le…,"December 28, 2023","Très bonne qualité des magnets et le délais de livraison canon ! Bravo. Une remarque la plus grande taille de vos magnets est 7 x 9 , j'aimerai plus grand ,par exemple du 10 x 13 !!",2,JJ Etienne,5 reviews,FR,5
33,Super cadeaux à offrir,"December 22, 2023","Super cadeaux à offrir, la photo sur toile ou les livres photos ont été très appréciés de mes proches! C’est sûr que je vais recommander. De plus il y a un indicateur pour. Ouf dire si la photo est assez nette pour l’impression :)",2,tiphaine chezeau,2 reviews,CA,4
34,Photo de qualite et envoie rapide,"December 21, 2023",Photo de qualite et envoie rapideLorsque la photo est un zoom il y a un point d'exclamation pour retoucher la photo. Petit bémol on ne comprend pas comment le modifier,2,Stéphanie Artiaga,6 reviews,FR,4
35,Magnets personnalisés,"December 26, 2023","Réception dans le délais convenu, la qualité des photos est surprenante et les magnets ont un aimant qui tient bien ! Très satisfaite de cet achat",2,Marine,3 reviews,FR,5
36,Très bonne qualité mais.....,"December 19, 2023","Très bonne qualité, rapidité. Un seul reproche, une trentaine d'albums commandés chez Cheerz et pas un seul geste commercial (réduction.....).Les temps sont difficiles pour vous?",2,Jean-Jacques Voillot,2 reviews,FR,4
37,"Achat cadre métallique ""rose""","December 27, 2023","Commande très facile à passer.Livraison très rapide.Très bel emballage.Et le cadre, avec la photo, très original !Donc très bonne expérience, je reviendrais vers vous !",2,Edith Vermersch,4 reviews,FR,5
38,J’ai reçu ma commande plus d’une…,"December 27, 2023","J’ai reçu ma commande plus d’une semaine en retard, alors que j’avais payé pour un envoi express… Délais non respectés, c’est dommage. Et aucun geste commercial proposé…",2,Laila,1 review,FR,1
39,Produits de qualité,"January 02, 2024","Produits de qualité, bon rendus d'impression, belles finitions, délai tout à fait raisonnable.",2,Adrien,1 review,FR,5
40,"Bonne idée de cadeau ,beaucoups de …","December 27, 2023","Bonne idée de cadeau ,beaucoups de  choix, plein de promotion , de petit prix or cela fait  10 jours que j attends ma commande un petit peux decus du delais de livraison mais sinon super application 👍",3,Clem,1 review,FR,3
41,Contente mais…,"December 19, 2023","Très heureuse de ma commande, cependant dès le premier magnét il y avait une tache sur la photo, pile sur un visage, ça c’est dommage, c’est à dire que ça gâche un peu la photo..",3,DA SILVA RODRIGUES Alexia,3 reviews,FR,3
42,Commande impression photo,"December 28, 2023","Reçu dans les temps voir même en avance, l’impression des photos est nickel rien à re dire ! Toujours autant satisfaite",3,Manon,1 review,FR,5
43,Bon travail efficace et rapide,"December 21, 2023",Bon travail efficace et rapide. J'ai juste été déçue car le jaune de la carte me semblait un peu plus foncé que sur le site mais c'est le problème des couleurs sur écran et sur papier.,3,Antoinette Mura,2 reviews,CH,5
44,Super site pour un bel album,"December 20, 2023",J'ai commandé un album photo et il est de très bonne qualité (si les photos sont de bonne qualité aussi !). et la livraison s'est passée très bien. Super site!,3,Yohannah Aufranc,2 reviews,AE,5
45,Très rapide et bonne qualité !,"December 29, 2023",La livraison est super rapide. C’est pas cher et en plus très bon rapport qualité/prix. Les photos sont magnifiques et superbes idées de cadeaux !,3,Claudia Ribeiro,2 reviews,FR,5
46,Facile à créer,"December 20, 2023","Facile à créer, large choix de format, qualité du rendu et expédition rapide. Je recommande c’est top, faut juste penser à le faire régulièrement 🤣",3,Iris BERTHELOT,5 reviews,FR,4
47,J’ai fait une erreur de…,"December 19, 2023",J’ai fait une erreur dans l’adresse de livraison et Cheerz a accepté de me renvoyer mon adresse gratuitement,3,Laure,1 review,FR,5
48,Il serait souhaitable,"December 27, 2023","Il serait souhaitable de pouvoir calibrer les contrastes, la qualité des tirages est aléatoire, bonne parfois, moins bien la fois suivante même sur des photos similaires (même fichiers).",3,JACQUES DUVAL,2 reviews,FR,3
49,Commande reçue très rapidement,"December 18, 2023","Commande reçue très rapidement,  avant Noël. Cadeau surprise qui a fait son effet.Photos et album de très bonne qualité",3,Blandine,1 review,FR,5
50,Très satisfaite,"December 26, 2023",Très satisfaite. Livraison rapide. Photos très belles. J’ai déjà passé plusieurs cdes et je suis tjs aussi satisfaite.,3,Alexandra,1 review,FR,5
51,J’ai commandé un album photo,"December 27, 2023","J’ai commandé un album photo, qui est censé être livré et qui n’est jamais arrivé. J’ai eu un monsieur du service client, très gentil qui m’en a envoyer un autre. Qui est marqué livrée or je n’ai toujours rien",3,Amanda,1 review,FR,1
52,Les photos étaient de bonne qualité,"December 28, 2023","Les photos étaient de bonne qualité, la service est rapide et le site simple, en revanche la taille de photos m'a obligé à couper un peu des têtes",3,Léa,1 review,FR,4
53,Livre photo très belle qualité,"December 27, 2023",Livre photo pour un cadeau de très bonne qualité. Les couleurs sont vraiment belles. La livraison a été rapide. Seul point qui freine la commande : le prix. J’ai attendu d’avoir un code promo de -30% pour commander. Merci jeremstar😉,3,Alexandra,3 reviews,FR,4
54,Colis perdu,"December 17, 2023","Malheureusement album photo non reçu pour les fêtes de Noël, c'était un cadeau, tout de même renvoyé par la suite et qui a pu être offert.",3,Ophélie,1 review,FR,3
55,Rapide et efficace,"December 20, 2023",Il s’agit de ma 2ème commande.Prise en charge rapide et efficace. 👍Petit bémol sur le choix des produits : côté offres box nous n’avions pas forcément le « bon » type de photo que l’on souhaite .,3,Cécilia,1 review,FR,5
56,Je suis très satisfaite du résultat et…,"December 20, 2023",Je suis très satisfaite du résultat et surtout de la rapidité de la livraison !!,3,Christelle,1 review,FR,5
57,Très bien,"December 20, 2023","Très bien , commande express d’un calendrier au dernier moment avant Noël Un très bon échange avec Louise  par mail qui a été très réactive !",3,Client Lolo ,2 reviews,FR,5
58,Correct,"December 21, 2023","Livraison très rapide, la qualité du produit rien à dire même pour les photos avec du filtre elles sortent parfaite",3,Intouchable,1 review,FR,4
59,Réception très rapide,"December 21, 2023",Réception très rapide ! Et super qualité des produits. Un bon cadeau à offrir !,3,Laura,1 review,FR,5
60,J'ai commandé un livre photo sur…,"December 28, 2023",J'ai commandé un livre photo sur l'application malheureusement je me suis trompé dans la saisie de mon code postal j'ai contacté le service client et je suis très satisfaite ils m'ont renvoyé ma commande gratuitement je vais récupérer mon colis demain,4,Marine Dumont,6 reviews,FR,5
61,Je suis super contente de mon…,"December 28, 2023","Je suis super contente de mon impression sur toile, le rendu est superbe !!!",4,Valérie ,4 reviews,FR,5
62,Très satisfaite,"December 28, 2023","Très satisfaite, les photos sont arrivées moins de 48h après ma commande. Et les photos sont de belles qualités.",4,Anne-Catherine,1 review,FR,5
63,Facile d'utilisation,"December 26, 2023",Délais courts ! Les photos sont super nettes ! Facilité d'utilisation pour les créations ! Merci cheerz !,4,Elisa,1 review,FR,5
64,Rapport qualité prix et rapidité,"December 20, 2023",Envoi très rapide et toujours de très bonne qualité. Jamais déçu de mes commandes et à un prix raisonnable,4,Laurène,1 review,FR,5
65,Très bien comme toujours .,"December 30, 2023",Très bien comme toujours .. rapidité.. qualité bravo à vous,4,nicole CHABRIER,22 reviews,FR,5
66,Très bon rapport qualité prix,"December 26, 2023",Très bon rapport qualité prix. Les albums que j'ai commandé sont fait avec de bons matériaux. Je recommande,4,Aurélie ,10 reviews,FR,5
67,Super contente de la rapidité,"December 20, 2023","Super contente de la rapidité , bonne qualité de photos ! Je recommande !",4,sanchez cécilia,3 reviews,FR,5
68,Parfait 🤩,"January 11, 2024",Livraison plus rapide que prévue et très facile de créer son album photo 👍🏽,4,Shahrukh,1 review,FR,5
69,Top !,"December 20, 2023","Application facile a utiliser, très bonne qualité et livraison dans les délais même en période très chargée !",4,Clémence PORTEU,1 review,FR,5
