index,related_feedbacks,content,children
0,"['feedback_46', 'feedback_50', 'feedback_60', 'feedback_99', 'feedback_100', 'feedback_125', 'feedback_125', 'feedback_143', 'feedback_144', 'feedback_147', 'feedback_15', 'feedback_18', 'feedback_49', 'feedback_60', 'feedback_72', 'feedback_74', 'feedback_91', 'feedback_93', 'feedback_96', 'feedback_124', 'feedback_32', 'feedback_65', 'feedback_85', 'feedback_117', 'feedback_119', 'feedback_120', 'feedback_127', 'feedback_132', 'feedback_147', 'feedback_2', 'feedback_14', 'feedback_28', 'feedback_29', 'feedback_30', 'feedback_32', 'feedback_51', 'feedback_53', 'feedback_64', 'feedback_73', 'feedback_78', 'feedback_82', 'feedback_88', 'feedback_89', 'feedback_101', 'feedback_104', 'feedback_104', 'feedback_106', 'feedback_107', 'feedback_128', 'feedback_134', 'feedback_135', 'feedback_136', 'feedback_141', 'feedback_148', 'feedback_34', 'feedback_40', 'feedback_56', 'feedback_68', 'feedback_87', 'feedback_108', 'feedback_114', 'feedback_135', 'feedback_140']",Satisfaction générale élevée et qualité des services et interactions.,"[11, 39, 41, 57, 59]"
1,"['feedback_17', 'feedback_56', 'feedback_57', 'feedback_63', 'feedback_84', 'feedback_121', 'feedback_17', 'feedback_66', 'feedback_74', 'feedback_84', 'feedback_89', 'feedback_113', 'feedback_130', 'feedback_48', 'feedback_75', 'feedback_82', 'feedback_94', 'feedback_143']","Appréciation de la communication, de l'écoute et de la réactivité de Randstad.","[12, 16, 40, 42]"
2,"['feedback_27', 'feedback_76', 'feedback_10', 'feedback_2', 'feedback_14', 'feedback_28', 'feedback_29', 'feedback_30', 'feedback_32', 'feedback_51', 'feedback_53', 'feedback_64', 'feedback_73', 'feedback_78', 'feedback_82', 'feedback_88', 'feedback_89', 'feedback_101', 'feedback_104', 'feedback_104', 'feedback_106', 'feedback_107', 'feedback_128', 'feedback_134', 'feedback_135', 'feedback_136', 'feedback_141', 'feedback_148', 'feedback_34', 'feedback_40', 'feedback_56', 'feedback_68', 'feedback_87', 'feedback_108', 'feedback_114', 'feedback_135', 'feedback_140']",Importance des interactions en présentiel et de l'engagement de l'équipe.,"[13, 43, 57, 59]"
3,"['feedback_14', 'feedback_115']",Reconnaissance de l'efficacité et de la spécificité des services locaux.,"[14, 18]"
4,"['feedback_59', 'feedback_19', 'feedback_11', 'feedback_19', 'feedback_110', 'feedback_21', 'feedback_83', 'feedback_136', 'feedback_41', 'feedback_117', 'feedback_140']","Utilité des outils et des rapports fournis, et suggestions d'amélioration.","[15, 21, 38, 46, 53]"
5,"['feedback_12', 'feedback_13', 'feedback_138']",Nécessité d'évaluer la compétitivité et l'adéquation des services.,"[51, 56]"
6,"['feedback_4', 'feedback_5', 'feedback_7', 'feedback_8', 'feedback_23', 'feedback_68', 'feedback_98', 'feedback_7', 'feedback_40', 'feedback_45', 'feedback_48', 'feedback_52', 'feedback_102', 'feedback_105', 'feedback_124', 'feedback_128', 'feedback_131', 'feedback_144', 'feedback_26', 'feedback_29', 'feedback_33', 'feedback_49', 'feedback_50', 'feedback_51', 'feedback_53', 'feedback_102', 'feedback_16', 'feedback_20', 'feedback_37', 'feedback_38', 'feedback_38', 'feedback_55', 'feedback_62', 'feedback_1', 'feedback_16', 'feedback_95', 'feedback_118', 'feedback_133', 'feedback_134', 'feedback_141', 'feedback_30', 'feedback_77', 'feedback_103', 'feedback_105', 'feedback_106', 'feedback_129', 'feedback_2', 'feedback_22', 'feedback_46', 'feedback_61', 'feedback_79', 'feedback_113', 'feedback_9', 'feedback_9', 'feedback_25', 'feedback_31', 'feedback_44', 'feedback_54', 'feedback_70', 'feedback_71', 'feedback_100', 'feedback_116', 'feedback_132']",Optimiser le processus de recrutement et l'adéquation profil/poste,"[0, 1, 2, 3, 7, 8, 36, 37]"
7,"['feedback_98', 'feedback_101', 'feedback_107', 'feedback_10', 'feedback_37', 'feedback_36', 'feedback_86', 'feedback_97', 'feedback_36', 'feedback_76', 'feedback_92', 'feedback_103', 'feedback_111', 'feedback_126', 'feedback_145', 'feedback_145', 'feedback_73', 'feedback_138', 'feedback_122', 'feedback_130', 'feedback_0', 'feedback_6', 'feedback_6', 'feedback_8', 'feedback_39', 'feedback_42', 'feedback_55', 'feedback_65', 'feedback_79', 'feedback_12', 'feedback_47', 'feedback_67', 'feedback_80', 'feedback_91', 'feedback_114', 'feedback_5', 'feedback_22', 'feedback_142', 'feedback_11', 'feedback_21']",Améliorer la communication et la gestion des informations,"[4, 19, 23, 24, 28, 32, 35, 45, 49, 50]"
8,"['feedback_27', 'feedback_43', 'feedback_45', 'feedback_61', 'feedback_81', 'feedback_123', 'feedback_34', 'feedback_80', 'feedback_119', 'feedback_126', 'feedback_129', 'feedback_58', 'feedback_86', 'feedback_103', 'feedback_71', 'feedback_0', 'feedback_1', 'feedback_25', 'feedback_52', 'feedback_57', 'feedback_59', 'feedback_62', 'feedback_77', 'feedback_111', 'feedback_2', 'feedback_22', 'feedback_46', 'feedback_61', 'feedback_79', 'feedback_113', 'feedback_3', 'feedback_15', 'feedback_20', 'feedback_23', 'feedback_26', 'feedback_33', 'feedback_35', 'feedback_39', 'feedback_43', 'feedback_75', 'feedback_87', 'feedback_88', 'feedback_109', 'feedback_115', 'feedback_116', 'feedback_137', 'feedback_142']",Renforcer la qualité du service et la préparation des intérimaires,"[9, 22, 26, 27, 34, 36, 44]"
9,"['feedback_24', 'feedback_18', 'feedback_96', 'feedback_97', 'feedback_3', 'feedback_4']",Clarifier et optimiser la structure financière et la facturation,"[5, 20, 48]"
