,Username,Total reviews,location,date,content,Rating
0,Mathilde,2 reviews,FR,"Jan 7, 2024Verified","Belle qualité de photosBelle qualité de photos, j’adore tous les types de formats (magnets ; photos retros surtout) et mes grands parents ont adoré le calendrier de l’année !Date of experience: December 17, 2023",5
1,MARTINE,1 review,FR,"Jan 6, 2024Verified","bonne satisfaction des tirages photo de…bonne satisfaction des tirages photo de CHEERZ et dans un délai respectable et convenu.Date of experience: December 07, 2023",4
2,yousra,1 review,MA,"Dec 28, 2023Verified","The overall quality was goodThe overall quality was goodAlso the delivery to Canada was fast however the packet was opened due to customs I suppose and because of that it was damaged!Date of experience: November 29, 2023",4
3,Émilie Demez,3 reviews,FR,"Dec 7, 2023Verified","Bug sur l’impression du calendrier de…Bug sur l’impression du calendrier de l’avent. Une photo vide sans message d’avertissement. Et ne pouvant pas ajouter plus de photo alors qu’il en manquait bien une…Date of experience: November 16, 2023",1
4,cliente,2 reviews,FR,"Jan 4, 2024Verified","SuperBelle qualité des photos avec le supportDate of experience: December 14, 2023",5
5,Lisa Berna,2 reviews,FR,2 days agoVerified,"Tirage photoTrès belle qualité de photo. Simple a créerDate of experience: December 29, 2023",5
6,Mateusz,1 review,FR,"Dec 7, 2023Verified","I do not recommendFirst order without any issues. I have ordered 2nd time the same order exactly to the same address. When Odred was delayed I have contacted customer service and they have told me that because they are busy with orders there are some delays. They offered me.6 euros. Next day I have recieved call from Poland where is.my billing adress to give full adress as item was printed in Poland instead France as item spposed to France. I have contacted again Customer Service and they assured me that it will be send to Paris not.to Poland. At the end I recieved it to polish adress where it was picked up.by my mother atnit supposed to be her christmass gift. (6th of December). The have send me just appologize and that is it. Poor cistomer service. They do not even bother to double check and read customers emails even they did already one mistake.Date of experience: November 22, 2023",1
7,Gabrielle,1 review,FR,4 days agoVerified,"Album photoSuper renduDate of experience: December 28, 2023",5
8,khouloud,1 review,QA,"Nov 20, 2023Verified","Best qualityFast delivery best quality best price can t find better highly recommend it, I wish they could deliver to qatar directly I was obliged to send it to my family in dubai and go to dubai to take my order . Highly satisfiedDate of experience: November 06, 2023",5
9,Ga�lle,2 reviews,FR,"Dec 28, 2023Verified","Impression de faire part en magnetImpression de faire part en magnet, qualité au top !Date of experience: December 06, 2023",5
10,Marion  Mazaleyrat,3 reviews,FR,"Dec 23, 2023Verified","Au topMagnets parfaits, on a repassé commandé ensuite car on en voulait plusDate of experience: December 01, 2023",5
11,Candice,1 review,FR,"Dec 24, 2023Verified","Tres bel album photoTrès bel album Page et photos de qualité , exactement fidèle à la simulation sur l’applicationDate of experience: December 09, 2023",5
12,Mme aurore nehdi,4 reviews,FR,4 days agoVerified,"Super merciDate of experience: December 16, 2023",4
13,Max,6 reviews,FR,"Nov 26, 2023Verified","attention au format d’imageMon format d’image ne correspondait pas au format de mon album photo, l’erreur vient de moi donc faite attention quand même.Date of experience: November 03, 2023",4
